DATE,BOGZ1FL594090005Q
1945-10-01,58456.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,66264.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,74318.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,82248.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,90557.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,98921.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,112211.0
1952-01-01,115868.0
1952-04-01,119717.0
1952-07-01,123730.0
1952-10-01,127869.0
1953-01-01,131862.0
1953-04-01,135968.0
1953-07-01,139998.0
1953-10-01,143957.0
1954-01-01,147884.0
1954-04-01,151873.0
1954-07-01,155783.0
1954-10-01,159844.0
1955-01-01,163905.0
1955-04-01,168266.0
1955-07-01,172569.0
1955-10-01,176803.0
1956-01-01,181128.0
1956-04-01,185529.0
1956-07-01,190124.0
1956-10-01,195128.0
1957-01-01,202099.0
1957-04-01,209616.0
1957-07-01,216908.0
1957-10-01,224098.0
1958-01-01,229518.0
1958-04-01,234951.0
1958-07-01,240497.0
1958-10-01,246113.0
1959-01-01,250499.0
1959-04-01,255312.0
1959-07-01,260211.0
1959-10-01,265022.0
1960-01-01,270717.0
1960-04-01,276994.0
1960-07-01,282548.0
1960-10-01,288527.0
1961-01-01,294406.0
1961-04-01,300356.0
1961-07-01,305995.0
1961-10-01,311781.0
1962-01-01,314902.0
1962-04-01,317631.0
1962-07-01,321158.0
1962-10-01,325130.0
1963-01-01,330551.0
1963-04-01,336729.0
1963-07-01,342580.0
1963-10-01,348662.0
1964-01-01,355176.0
1964-04-01,362244.0
1964-07-01,369110.0
1964-10-01,376113.0
1965-01-01,383330.0
1965-04-01,391089.0
1965-07-01,399513.0
1965-10-01,407945.0
1966-01-01,416767.0
1966-04-01,426329.0
1966-07-01,435243.0
1966-10-01,445589.0
1967-01-01,456136.0
1967-04-01,466661.0
1967-07-01,477293.0
1967-10-01,487543.0
1968-01-01,498981.0
1968-04-01,513385.0
1968-07-01,526800.0
1968-10-01,540886.0
1969-01-01,554457.0
1969-04-01,569503.0
1969-07-01,584562.0
1969-10-01,600344.0
